date,NO2,NO2_cleaned,NO2_filled
2024-06-03,2.5345644e-05,2.5345644e-05,2.5345644e-05
2024-06-04,2.7136395e-05,2.7136395e-05,2.7136395e-05
2024-06-05,2.8927145e-05,2.8927145e-05,2.8927145e-05
2024-06-06,3.4103334e-05,3.4103334e-05,3.4103334e-05
2024-06-07,3.2055646e-05,3.2055646e-05,3.2055646e-05
2024-06-08,3.7926344e-05,3.7926344e-05,3.7926344e-05
2024-06-09,4.1692914e-05,4.1692914e-05,4.1692914e-05
2024-06-10,4.5459485e-05,4.5459485e-05,4.5459485e-05
2024-06-11,4.922606e-05,4.922606e-05,4.922606e-05
2024-06-12,3.0685176e-05,3.0685176e-05,3.0685176e-05
2024-06-13,2.9565188e-05,2.9565188e-05,2.9565188e-05
2024-06-14,2.9713497e-05,2.9713497e-05,2.9713497e-05
2024-06-15,4.3136886e-05,4.3136886e-05,4.3136886e-05
2024-06-16,2.6344827e-05,2.6344827e-05,2.6344827e-05
2024-06-17,3.2742482e-05,3.2742482e-05,3.2742482e-05
2024-06-18,3.914013e-05,3.914013e-05,3.914013e-05
2024-06-19,4.275387e-05,4.275387e-05,4.275387e-05
2024-06-20,4.7628775e-05,4.7628775e-05,4.7628775e-05
2024-06-21,4.623247e-05,4.623247e-05,4.623247e-05
2024-06-22,4.2551677e-05,4.2551677e-05,4.2551677e-05
2024-06-23,4.1755084e-05,4.1755084e-05,4.1755084e-05
2024-06-24,4.0958494e-05,4.0958494e-05,4.0958494e-05
2024-06-25,4.458105e-05,4.458105e-05,4.458105e-05
2024-06-26,4.5171153e-05,4.5171153e-05,4.5171153e-05
2024-06-27,2.7823939e-05,2.7823939e-05,2.7823939e-05
2024-06-28,3.391687e-05,3.391687e-05,3.391687e-05
2024-06-29,3.9082828e-05,3.9082828e-05,3.9082828e-05
2024-06-30,4.1916293e-05,4.1916293e-05,4.1916293e-05
2024-07-01,4.0926327e-05,4.0926327e-05,4.0926327e-05
2024-07-02,3.9936356e-05,3.9936356e-05,3.9936356e-05
2024-07-03,3.8946397e-05,3.8946397e-05,3.8946397e-05
2024-07-04,3.7956426e-05,3.7956426e-05,3.7956426e-05
2024-07-05,3.6966456e-05,3.6966456e-05,3.6966456e-05
2024-07-06,2.6621154e-05,2.6621154e-05,2.6621154e-05
2024-07-07,3.3319735e-05,3.3319735e-05,3.3319735e-05
2024-07-08,3.2395474e-05,3.2395474e-05,3.2395474e-05
2024-07-09,5.4916243e-05,5.4916243e-05,5.4916243e-05
2024-07-10,5.1038212e-05,5.1038212e-05,5.1038212e-05
2024-07-11,4.754503e-05,4.754503e-05,4.754503e-05
2024-07-12,4.1546453e-05,4.1546453e-05,4.1546453e-05
2024-07-13,3.1770265e-05,3.1770265e-05,3.1770265e-05
2024-07-14,4.293344e-05,4.293344e-05,4.293344e-05
2024-07-15,3.5889585e-05,3.5889585e-05,3.5889585e-05
2024-07-16,5.216995e-05,5.216995e-05,5.216995e-05
2024-07-17,3.353115e-05,3.353115e-05,3.353115e-05
2024-07-18,3.845131e-05,3.845131e-05,3.845131e-05
2024-07-19,4.1574247e-05,4.1574247e-05,4.1574247e-05
2024-07-20,4.031677e-05,4.031677e-05,4.031677e-05
2024-07-21,3.3828437e-05,3.3828437e-05,3.3828437e-05
2024-07-22,3.5619545e-05,3.5619545e-05,3.5619545e-05
2024-07-23,3.741065e-05,3.741065e-05,3.741065e-05
2024-07-24,3.859625e-05,3.859625e-05,3.859625e-05
2024-07-25,4.960874e-05,4.960874e-05,4.960874e-05
2024-07-26,3.3932054e-05,3.3932054e-05,3.3932054e-05
2024-07-27,4.192721e-05,4.192721e-05,4.192721e-05
2024-07-28,3.5582765e-05,3.5582765e-05,3.5582765e-05
2024-07-29,3.771229e-05,3.771229e-05,3.771229e-05
2024-07-30,3.4581848e-05,3.4581848e-05,3.4581848e-05
2024-07-31,3.6703896e-05,3.6703896e-05,3.6703896e-05
2024-08-01,3.9800812e-05,3.9800812e-05,3.9800812e-05
2024-08-02,4.0509087e-05,4.0509087e-05,4.0509087e-05
2024-08-03,4.1217376e-05,4.1217376e-05,4.1217376e-05
2024-08-04,4.318734e-05,4.318734e-05,4.318734e-05
2024-08-05,4.7172216e-05,4.7172216e-05,4.7172216e-05
2024-08-06,3.7248334e-05,3.7248334e-05,3.7248334e-05
2024-08-07,3.819704e-05,3.819704e-05,3.819704e-05
2024-08-08,3.914574e-05,3.914574e-05,3.914574e-05
2024-08-09,4.0094445e-05,4.0094445e-05,4.0094445e-05
2024-08-10,4.2809625e-05,4.2809625e-05,4.2809625e-05
2024-08-11,4.2040094e-05,4.2040094e-05,4.2040094e-05
2024-08-12,4.2778517e-05,,
2024-08-13,4.351694e-05,4.351694e-05,4.351694e-05
2024-08-14,4.499378e-05,4.499378e-05,4.499378e-05
2024-08-15,4.3005402e-05,4.3005402e-05,4.3005402e-05
2024-08-16,3.0430816e-05,3.0430816e-05,3.0430816e-05
2024-08-17,4.6000772e-05,4.6000772e-05,4.6000772e-05
2024-08-18,5.642026e-05,5.642026e-05,5.642026e-05
2024-08-19,6.632585e-05,,5.5045325e-05
2024-08-20,5.367039e-05,5.367039e-05,5.367039e-05
2024-08-21,4.734856e-05,4.734856e-05,4.734856e-05
2024-08-22,5.664082e-05,5.664082e-05,5.664082e-05
2024-08-23,5.028787e-05,5.028787e-05,5.028787e-05
2024-08-24,4.3934913e-05,4.3934913e-05,4.3934913e-05
2024-08-25,4.7350877e-05,4.7350877e-05,4.7350877e-05
2024-08-26,4.5083638e-05,4.5083638e-05,4.5083638e-05
2024-08-27,5.380521e-05,5.380521e-05,5.380521e-05
2024-08-28,5.0025978e-05,5.0025978e-05,5.0025978e-05
2024-08-29,4.624673e-05,4.624673e-05,4.624673e-05
2024-08-30,4.2467494e-05,4.2467494e-05,4.2467494e-05
2024-08-31,5.316996e-05,5.316996e-05,5.316996e-05
2024-09-01,3.0027948e-05,3.0027948e-05,3.0027948e-05
2024-09-02,3.411574e-05,3.411574e-05,3.411574e-05
2024-09-03,3.8203536e-05,3.8203536e-05,3.8203536e-05
2024-09-04,3.984167e-05,3.984167e-05,3.984167e-05
2024-09-05,4.905381e-05,4.905381e-05,4.905381e-05
2024-09-06,5.302216e-05,5.302216e-05,5.302216e-05
2024-09-07,6.0139322e-05,6.0139322e-05,6.0139322e-05
2024-09-08,5.7569687e-05,5.7569687e-05,5.7569687e-05
2024-09-09,5.5000044e-05,5.5000044e-05,5.5000044e-05
2024-09-10,5.351086e-05,5.351086e-05,5.351086e-05
2024-09-11,5.2021674e-05,5.2021674e-05,5.2021674e-05
2024-09-12,5.2932544e-05,5.2932544e-05,5.2932544e-05
2024-09-13,5.3843418e-05,5.3843418e-05,5.3843418e-05
2024-09-14,4.826898e-05,4.826898e-05,4.826898e-05
2024-09-15,4.4230695e-05,4.4230695e-05,4.4230695e-05
2024-09-16,3.8522165e-05,3.8522165e-05,3.8522165e-05
2024-09-17,3.662836e-05,3.662836e-05,3.662836e-05
2024-09-18,4.776288e-05,4.776288e-05,4.776288e-05
2024-09-19,4.0816507e-05,4.0816507e-05,4.0816507e-05
2024-09-20,5.5894412e-05,5.5894412e-05,5.5894412e-05
2024-09-21,6.322909e-05,,5.8757371e-05
2024-09-22,6.162033e-05,6.162033e-05,6.162033e-05
2024-09-23,6.0011575e-05,6.0011575e-05,6.0011575e-05
2024-09-24,5.8402817e-05,5.8402817e-05,5.8402817e-05
2024-09-25,5.679407e-05,5.679407e-05,5.679407e-05
2024-09-26,5.687215e-05,5.687215e-05,5.687215e-05
2024-09-27,5.6950234e-05,5.6950234e-05,5.6950234e-05
2024-09-28,5.967176e-05,5.967176e-05,5.967176e-05
2024-09-29,6.692831e-05,,5.8153061e-05
2024-09-30,6.3297615e-05,,5.6634362e-05
2024-10-01,5.5115663e-05,5.5115663e-05,5.5115663e-05
2024-10-02,5.5758082e-05,5.5758082e-05,5.5758082e-05
2024-10-03,5.5105043e-05,5.5105043e-05,5.5105043e-05
2024-10-04,5.445201e-05,5.445201e-05,5.445201e-05
2024-10-05,5.379897e-05,5.379897e-05,5.379897e-05
2024-10-06,4.6427107e-05,4.6427107e-05,4.6427107e-05
2024-10-07,4.692854e-05,4.692854e-05,4.692854e-05
2024-10-08,4.4202734e-05,4.4202734e-05,4.4202734e-05
2024-10-09,4.1476927e-05,4.1476927e-05,4.1476927e-05
2024-10-10,2.6984031e-05,2.6984031e-05,2.6984031e-05
2024-10-11,2.1922177e-05,2.1922177e-05,2.1922177e-05
